Year,State,Value
2015,RI,0.2
2015,VT,0.3
2017,VA,0.3
2017,DE,0.4
2015,RI,0.4
2017,WV,0.6
2015,FL,0.6
2017,NM,0.7
2015,MD,0.7
2015,RI,0.8
2015,RI,0.9
2017,MD,0.9
2015,RI,1
2017,MD,1
2017,DE,1
2015,ND,1.1
2015,DE,1.1
2017,MD,1.1
2015,VA,1.1
2017,MD,1.2
2017,RI,1.2
2017,NY,1.2
2017,MD,1.2
2017,DE,1.2
2015,RI,1.2
2017,VA,1.3
2017,MD,1.3
2017,NV,1.3
2017,RI,1.3
2017,VT,1.4
2015,VT,1.4
2015,RI,1.4
2015,VA,1.5
2011,RI,1.5
2015,VA,1.5
2007,RI,1.5
2015,VA,1.5
2017,DE,1.5
2017,MD,1.5
2017,VT,1.5
2013,MA,1.5
2015,IL,1.6
2015,VA,1.6
2015,VT,1.6
2017,RI,1.6
2017,CA,1.6
2017,VT,1.6
2015,VA,1.6
2015,VT,1.7
2013,VA,1.7
2017,RI,1.7
2017,DE,1.7
2017,NM,1.7
2017,FL,1.7
2015,MI,1.7
2013,FL,1.8
2017,IL,1.8
2017,ND,1.8
2017,KY,1.8
2017,ME,1.8
2017,CA,1.8
2017,VA,1.8
2017,FL,1.8
2015,VT,1.8
2013,CO,1.9
2013,VA,1.9
2015,DE,1.9
2015,DC,1.9
2017,ME,1.9
2017,VT,1.9
2017,RI,1.9
2017,IA,1.9
2017,VT,1.9
2017,RI,1.9
2017,DE,1.9
2017,ME,1.9
2017,TN,1.9
2017,MA,1.9
2013,VT,2
2013,CO,2
2013,VT,2
2013,DC,2
2015,VT,2
2015,MD,2
2015,ME,2
2017,MD,2
2017,ND,2
2017,DC,2
2017,NV,2
2017,NV,2
2017,VA,2
2017,DE,2
2013,VA,2
2013,VT,2
2013,VT,2.1
2017,NV,2.1
2017,MD,2.1
2017,KY,2.1
2017,ME,2.1
2017,NV,2.1
2017,VT,2.1
2015,DE,2.1
2013,VA,2.1
2015,RI,2.2
2015,DC,2.2
2011,VT,2.2
2017,HI,2.2
2017,GU,2.2
2017,NM,2.2
2017,FL,2.2
2017,ME,2.2
2017,FL,2.2
2017,US,2.2
2013,RI,2.2
2013,CO,2.3
2013,PR,2.3
2015,DE,2.3
2015,RI,2.3
2015,ND,2.3
2013,ND,2.3
2015,GU,2.3
2015,MD,2.3
2015,VT,2.3
2013,RI,2.4
2015,DE,2.4
2017,VA,2.4
2017,VA,2.4
2017,NY,2.4
2013,NM,2.5
2011,PR,2.5
2015,MD,2.5
2013,VT,2.5
2015,MD,2.5
2013,CO,2.5
2013,MD,2.5
2015,IL,2.5
2013,VA,2.5
2017,HI,2.5
2017,FL,2.5
2017,ND,2.5
2015,VA,2.6
2013,VA,2.6
2017,WV,2.6
2017,NV,2.6
2017,VA,2.6
2017,FL,2.6
2013,WI,2.7
2015,MD,2.7
2013,VA,2.7
2017,FL,2.7
2017,PR,2.7
2017,MI,2.7
2017,DE,2.7
2017,KY,2.7
2013,VA,2.7
2013,DE,2.7
2015,NM,2.7
2015,ND,2.8
2011,PR,2.8
2013,VA,2.8
2013,AK,2.8
2017,NV,2.8
2017,DC,2.8
2017,MD,2.8
2015,MD,2.8
2015,VA,2.9
2013,VA,2.9
2017,KY,2.9
2017,ND,2.9
2017,GU,2.9
2015,PR,3
2011,PR,3
2017,UT,3
2017,PA,3
2007,RI,3
2015,MA,3
2015,DE,3.1
2011,CO,3.1
2011,VT,3.1
2015,MD,3.1
2017,FL,3.1
2015,CA,3.1
2015,ME,3.2
2015,HI,3.2
2015,HI,3.2
2013,MD,3.2
2013,ME,3.2
2017,DE,3.2
2013,GU,3.2
2011,GA,3.2
2013,CO,3.3
2015,DE,3.3
2015,ME,3.3
2011,VT,3.3
2013,DE,3.3
2011,VT,3.3
2017,NV,3.3
2017,KY,3.3
2017,DC,3.3
2017,NY,3.3
2017,KY,3.3
2013,ME,3.4
2015,DC,3.4
2013,FL,3.4
2015,ME,3.4
2015,FL,3.4
2011,CO,3.4
2003,HI,3.4
2015,DC,3.4
2011,ND,3.4
2017,VA,3.4
2017,NM,3.4
2017,NV,3.4
2017,PR,3.4
2017,VT,3.4
2015,ME,3.4
2013,UT,3.5
2013,RI,3.5
2013,MD,3.5
2011,VT,3.5
2007,ND,3.5
2015,ME,3.5
2017,WV,3.5
2017,MD,3.5
